Dataset di provenienza;tipo_metafora;testo;etichetta;argomento;veicolo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'alito è una fogna;1;alito;fogna;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'esercito è una diga;1;esercito;diga;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'uragano è un carrarmato;1;uragano;carrarmato;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel collega è una zecca;1;collega;zecca;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel poliziotto è un leone;1;poliziotto;leone;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'acconciatura è un cespuglio;1;acconciatura;cespuglio;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella carezza è un balsamo;1;carezza;balsamo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella fanciulla è una rosa;1;fanciulla;rosa;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella lezione è un sonnifero;1;lezione;sonnifero;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella malattia è un cecchino;1;malattia;cecchino;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella melodia è una camomilla;1;melodia;camomilla;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella notizia è un terremoto;1;notizia;terremoto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel matrimonio è una quercia;1;matrimonio;quercia;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella nuvola è una madreperla;1;nuvola;madreperla;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'allegria è una calamita;1;allegria;calamita;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel bacio è un peperoncino;1;bacio;peperoncino;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel bimbetto è una colla;1;bimbetto;colla;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'esame è una processione;1;esame;processione;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel traffico è una marmellata;1;traffico;marmellata;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel venditore è un'ortica;1;venditore;ortica;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel ladro è un gatto;1;ladro;gatto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella bocca è una fragola;1;bocca;fragola;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella punizione è una medicina;1;punizione;medicina;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel cappello è un faro;1;cappello;faro;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel giornalista è una iena;1;giornalista;iena;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel videogioco è una droga;1;videogioco;droga;;;;;;;;;;
